MW_R,logP_R,TPSA_R,Rings Count_R,Aromatic Rings_R,Heavy atoms cout_R,Alifatic Rings_R,CSP3_R,BalabanJ_R,RotatableBonds_R,H-bond donor_R,H-bond acceptor_R
260.02971862600003,-3.104399999999999,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287313,3.0,6.0,7.0
506.9957454619998,-1.629000000000001,279.13,3.0,1.0,31.0,1.0,0.5,1.6894094002007245,8.0,7.0,14.0
339.9960491479999,-2.9858,203.44,1.0,1.0,20.0,1.0,1.0,2.6740286330746827,6.0,7.0,8.0
169.998024574,-1.3445000000000005,104.06,0.0,0.0,10.0,0.0,0.6666666666666666,3.550748721097319,4.0,3.0,4.0
169.998024574,-1.3445000000000005,104.06,0.0,0.0,10.0,0.0,0.6666666666666666,3.550748721097319,4.0,3.0,4.0
185.992939194,-1.4588,124.29000000000002,0.0,0.0,11.0,0.0,0.6666666666666666,3.720984563822844,4.0,4.0,4.0
185.992939194,-1.4588000000000003,124.29000000000002,0.0,0.0,11.0,0.0,0.6666666666666666,4.101477779413871,4.0,4.0,4.0
506.9957454619998,-1.629000000000001,279.13,3.0,1.0,31.0,1.0,0.5,1.6894094002007245,8.0,7.0,14.0
506.9957454619998,-1.629000000000001,279.13,3.0,1.0,31.0,1.0,0.5,1.6894094002007245,8.0,7.0,14.0
260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.747846398413265,3.0,6.0,7.0
260.02971862600003,-3.104399999999999,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287313,3.0,6.0,7.0
507.9797610499998,-1.9179000000000008,273.0799999999999,3.0,1.0,31.0,1.0,0.5,1.696297416547441,8.0,7.0,13.0
491.0008308419997,-0.5998,258.9,3.0,1.0,30.0,1.0,0.5,1.6365118173362256,8.0,6.0,13.0
18.010564684,-0.8247,31.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
744.0827287780897,-2.898899999999997,364.7899999999999,5.0,2.0,48.0,2.0,0.4761904761904761,1.2093210089871331,13.0,9.0,18.0
180.063388104,-3.2214000000000005,110.38,1.0,1.0,12.0,1.0,1.0,2.634408987061597,1.0,5.0,6.0
399.1445152560901,-1.9221999999999968,182.63,3.0,1.0,27.0,1.0,0.6,1.6816848736530563,7.0,5.0,10.0
339.9960491479999,-2.9858,203.44,1.0,1.0,20.0,1.0,1.0,2.6740286330746827,6.0,7.0,8.0
483.96852766999984,-2.500900000000001,264.36999999999995,2.0,1.0,29.0,1.0,0.5555555555555556,2.0560435528727004,8.0,7.0,12.0
